Date,open,high,low,close,adjclose,volume,ticker
2021-07-23,23.60000038,23.60000038,23.25,23.29999924,20.91959953,6701681,IRFC.NS
2021-07-26,23.25,23.39999962,23.20000076,23.25,20.87470627,7567068,IRFC.NS
2021-07-27,23.25,23.35000038,23,23.10000038,20.7400322,8964578,IRFC.NS
2021-07-28,23.04999924,23.10000038,22.85000038,23,20.65024757,8776723,IRFC.NS
2021-07-29,23,23.10000038,22.85000038,22.85000038,20.5155735,6718597,IRFC.NS
2021-07-30,22.95000076,23.20000076,22.85000038,23,20.65024757,7024120,IRFC.NS
2021-08-02,23.14999962,23.79999924,23.10000038,23.29999924,20.91959953,18872464,IRFC.NS
2021-08-03,23.35000038,23.75,23.25,23.54999924,21.14405823,11062324,IRFC.NS
2021-08-04,23.64999962,23.70000076,23.20000076,23.60000038,21.18894958,15813294,IRFC.NS
2021-08-05,23.60000038,23.79999924,23.20000076,23.64999962,21.23384285,10469724,IRFC.NS
2021-08-06,23.5,23.60000038,23.29999924,23.54999924,21.14405823,8223906,IRFC.NS
2021-08-09,23.54999924,23.64999962,23.35000038,23.54999924,21.14405823,7670837,IRFC.NS
2021-08-10,23.54999924,23.54999924,23,23.04999924,20.69513893,7343285,IRFC.NS
2021-08-11,23.04999924,23.20000076,22.79999924,23.04999924,20.69513893,8655301,IRFC.NS
2021-08-12,23.14999962,24.10000038,23.04999924,23.95000076,21.5031929,13674855,IRFC.NS
2021-08-13,24,24.14999962,23.70000076,23.79999924,21.36851883,9734894,IRFC.NS
2021-08-16,24.25,24.25,23.64999962,23.75,21.32362556,9160653,IRFC.NS
2021-08-17,23.75,23.75,23.25,23.35000038,20.9644928,7973831,IRFC.NS
2021-08-18,23.35000038,23.89999962,23.10000038,23.45000076,21.05427551,7908641,IRFC.NS
2021-08-20,23.29999924,23.35000038,22.95000076,23,20.65024757,9048947,IRFC.NS
2021-08-23,23.14999962,23.29999924,22.54999924,22.75,20.42578888,9143940,IRFC.NS
2021-08-24,22.60000038,23.04999924,22.60000038,22.95000076,20.60535622,8233304,IRFC.NS
2021-08-25,23,23.25,23,23.04999924,20.69513893,3960870,IRFC.NS
